  
   ANL-osaka amplitudes : < MB (nf)|T| MB (ni) > 
   Relation to S-matrix : S = 1 + 2 i T
 ---------------------------------- 
  Requested Amplitudes
  MB(nf)=  eta-N  ,   MB(ni)=  pi-N   
                   
                   
   Partial-wave = S11
   W (MeV)   < MB (nf)|T| MB (ni) > 
  0.1490E+04  0.1316E+00  0.1883E+00
  0.1495E+04  0.1269E+00  0.2548E+00
  0.1500E+04  0.1114E+00  0.2995E+00
  0.1505E+04  0.8939E-01  0.3353E+00
  0.1510E+04  0.6284E-01  0.3638E+00
  0.1515E+04  0.3347E-01  0.3859E+00
  0.1520E+04  0.2468E-02  0.4022E+00
  0.1525E+04 -0.2936E-01  0.4134E+00
  0.1530E+04 -0.6141E-01  0.4199E+00
  0.1535E+04 -0.9316E-01  0.4219E+00
  0.1540E+04 -0.1241E+00  0.4198E+00
  0.1545E+04 -0.1539E+00  0.4138E+00
  0.1550E+04 -0.1821E+00  0.4043E+00
  0.1555E+04 -0.2083E+00  0.3915E+00
  0.1560E+04 -0.2322E+00  0.3759E+00
  0.1565E+04 -0.2537E+00  0.3578E+00
  0.1570E+04 -0.2724E+00  0.3375E+00
  0.1575E+04 -0.2882E+00  0.3154E+00
  0.1580E+04 -0.3010E+00  0.2919E+00
  0.1585E+04 -0.3108E+00  0.2672E+00
  0.1590E+04 -0.3173E+00  0.2418E+00
  0.1595E+04 -0.3206E+00  0.2159E+00
  0.1600E+04 -0.3208E+00  0.1899E+00
  0.1605E+04 -0.3181E+00  0.1639E+00
  0.1610E+04 -0.3125E+00  0.1374E+00
  0.1615E+04 -0.2993E+00  0.1091E+00
  0.1620E+04 -0.2818E+00  0.8681E-01
  0.1625E+04 -0.2619E+00  0.6793E-01
  0.1630E+04 -0.2395E+00  0.5246E-01
  0.1635E+04 -0.2150E+00  0.4091E-01
  0.1640E+04 -0.1890E+00  0.3373E-01
  0.1645E+04 -0.1624E+00  0.3125E-01
  0.1650E+04 -0.1361E+00  0.3356E-01
  0.1655E+04 -0.1109E+00  0.4052E-01
  0.1660E+04 -0.8794E-01  0.5176E-01
  0.1665E+04 -0.6779E-01  0.6668E-01
  0.1670E+04 -0.5092E-01  0.8453E-01
  0.1675E+04 -0.3719E-01  0.1045E+00
  0.1680E+04 -0.2491E-01  0.1269E+00
  0.1685E+04 -0.1356E-01  0.1604E+00
  0.1690E+04 -0.4452E-01  0.2052E+00
  0.1695E+04 -0.6835E-01  0.2009E+00
  0.1700E+04 -0.7558E-01  0.1987E+00
  0.1705E+04 -0.7926E-01  0.2001E+00
  0.1710E+04 -0.8212E-01  0.2032E+00
  0.1715E+04 -0.8499E-01  0.2072E+00
  0.1720E+04 -0.8823E-01  0.2116E+00
  0.1725E+04 -0.9198E-01  0.2160E+00
  0.1730E+04 -0.9621E-01  0.2201E+00
  0.1735E+04 -0.1008E+00  0.2238E+00
  0.1740E+04 -0.1058E+00  0.2269E+00
  0.1745E+04 -0.1109E+00  0.2294E+00
  0.1750E+04 -0.1160E+00  0.2314E+00
  0.1755E+04 -0.1212E+00  0.2328E+00
  0.1760E+04 -0.1262E+00  0.2337E+00
